"성별(1)","응답자특성별(1)",응답자특성별(2),1998,1998,1998,2001,2001,2001,2005,2005,2005,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
"성별(1)","응답자특성별(1)",응답자특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","소득수준(표준화)별",상,1762,32.6,1.1,1726,27.9,1.1,1523,25.2,1.4,573,19.3,2.0,1296,23.0,1.4,1452,21.5,1.4,1228,24.8,1.7,1206,23.6,1.7,1134,23.8,1.8,1079,20.7,1.6,1039,19.7,1.5,1088,18.9,1.7,1199,21.7,1.8,1220,15.9,1.4,1231,17.2,1.4
"남자","전체",19세이상,4110,67.0,0.9,3677,61.3,1.0,3509,52.3,1.0,1241,45.1,1.9,2838,47.7,1.0,3234,46.7,1.1,2704,48.1,1.2,2557,46.8,1.3,2309,43.3,1.2,2254,41.4,1.4,2154,42.3,1.3,2352,38.3,1.2,2592,39.4,1.3,2717,37.0,1.4,2713,35.8,1.2
"남자","전체",19세이상(표준화),4110,66.3,0.9,3677,60.9,1.0,3509,51.7,1.0,1241,45.1,1.8,2838,47.8,1.0,3234,47.0,1.1,2704,48.3,1.1,2557,47.3,1.3,2309,43.7,1.2,2254,42.2,1.4,2154,43.2,1.3,2352,39.4,1.2,2592,40.7,1.3,2717,38.1,1.4,2713,36.7,1.2
"남자","연령대별1",19-29세,816,70.7,2.0,715,64.7,2.1,583,55.5,2.2,141,47.5,4.6,366,53.6,2.8,485,51.9,2.5,307,47.3,3.1,286,44.9,3.3,253,41.5,3.5,312,37.0,3.0,239,34.8,3.5,335,38.7,2.9,304,41.7,3.3,344,37.3,3.1,359,34.9,3.1
"남자","연령대별1",30-39세,1091,71.6,1.4,943,67.9,1.5,811,60.2,2.2,247,58.3,3.2,598,56.4,2.1,595,56.2,2.1,527,60.9,2.4,443,63.7,2.5,389,54.8,2.6,386,54.5,3.0,378,53.2,2.7,299,48.0,3.1,457,51.5,2.5,405,42.7,2.9,416,39.9,2.6
"남자","연령대별1",40-49세,888,67.9,1.6,910,66.7,1.7,872,55.2,1.9,248,48.8,3.5,579,49.1,2.3,642,48.9,2.1,532,53.6,2.8,452,47.0,2.9,401,49.5,2.8,446,48.0,2.5,365,54.4,2.9,397,45.8,2.8,500,43.9,2.7,496,46.3,2.3,475,44.1,2.5
"남자","연령대별1",50-59세,616,62.2,2.1,522,55.5,2.6,579,47.7,2.2,205,34.0,4.0,489,41.5,2.5,542,41.6,2.6,481,45.0,2.7,508,44.4,2.9,434,41.8,2.9,415,40.8,2.8,400,39.4,2.8,485,36.5,2.6,451,38.2,2.7,541,37.0,2.7,500,40.6,2.6
"남자","연령대별1",60-69세,476,58.2,2.6,381,49.9,3.1,445,38.3,2.7,217,31.1,5.2,441,34.5,2.7,539,33.8,2.7,473,30.8,2.4,460,32.5,3.0,432,26.9,2.7,378,32.5,2.8,405,35.8,2.6,460,26.1,2.3,441,25.7,2.3,469,26.6,2.3,499,26.7,2.3
"남자","연령대별1",70세이상,223,50.5,3.9,206,33.8,4.0,219,27.5,3.3,183,23.3,3.5,365,27.9,3.2,431,23.7,2.5,384,24.7,2.4,408,28.8,3.1,400,23.2,2.7,317,15.6,2.1,367,19.4,2.2,376,17.0,2.4,439,18.0,2.0,462,18.2,2.2,464,14.7,2.2
"남자","연령대별1",19-64세,3699,68.3,0.9,3298,63.6,1.1,3081,54.4,1.1,940,47.4,2.1,2257,49.9,1.1,2544,49.4,1.2,2091,51.0,1.2,1937,49.3,1.4,1708,45.8,1.4,1750,44.3,1.6,1569,45.4,1.4,1743,41.2,1.3,1919,42.7,1.5,2032,39.9,1.6,2035,39.0,1.3
"남자","연령대별1",65세이상,411,51.8,3.0,379,42.0,3.2,428,32.5,2.6,301,26.2,3.2,581,30.0,2.3,690,25.9,1.8,613,25.5,1.9,620,28.0,2.4,601,24.7,2.0,504,20.9,2.3,585,21.5,2.0,609,19.0,2.1,673,18.8,1.6,685,20.0,1.9,678,17.4,2.0
"남자","거주지역별",동,2685,66.8,1.0,2931,60.5,1.1,2794,51.4,1.2,868,45.8,2.2,2080,48.1,1.2,2391,46.7,1.2,2109,48.0,1.2,2030,45.9,1.5,1826,43.4,1.4,1802,40.5,1.6,1717,41.5,1.3,1879,38.4,1.3,2087,39.0,1.4,2210,35.8,1.5,2208,35.4,1.3
"남자","거주지역별",읍면,1425,67.5,1.4,746,64.8,2.4,715,56.5,2.1,373,42.9,4.0,758,45.7,2.1,843,47.0,2.4,595,48.4,2.7,527,50.7,2.7,483,42.9,2.7,452,45.2,3.1,437,46.1,2.9,473,37.6,2.9,505,42.1,3.6,507,44.1,3.2,505,38.2,2.3
"남자","소득수준별",하,815,70.2,1.7,582,68.6,2.2,712,59.3,2.1,237,51.1,3.6,550,56.3,2.3,631,53.3,2.3,521,53.4,2.7,509,54.2,2.8,444,48.8,2.8,442,46.7,2.6,419,46.0,2.9,461,40.8,2.7,521,40.3,2.9,537,42.3,2.8,540,39.9,2.5
"남자","소득수준별",중하,796,69.9,1.9,718,62.5,1.8,726,54.6,2.1,237,48.0,4.3,551,48.7,2.4,658,50.1,2.1,533,52.7,2.5,502,49.3,2.9,452,47.5,2.7,448,44.1,2.9,434,42.1,2.6,460,37.3,2.6,518,43.6,2.5,534,42.4,2.6,540,40.4,2.6
"남자","소득수준별",중,853,65.5,1.7,679,63.6,2.3,682,52.7,2.0,238,46.7,4.4,539,47.7,2.8,636,47.4,2.3,572,45.6,2.7,506,46.3,3.0,448,38.7,3.0,446,43.3,2.9,431,45.4,3.0,468,41.4,2.9,507,38.4,2.6,543,36.3,2.4,549,34.9,2.6
"남자","소득수준별",중상,829,66.2,1.8,695,56.8,2.2,669,48.2,2.1,241,45.5,3.9,572,47.6,2.3,630,44.1,2.4,512,45.3,2.8,502,41.6,2.8,462,39.0,2.8,443,37.4,2.5,433,42.3,2.9,470,38.4,2.7,515,40.8,2.7,547,36.8,2.4,538,33.7,2.4
"남자","소득수준별",상,817,63.9,1.8,804,55.0,2.0,675,46.4,2.4,239,35.1,3.7,540,38.9,2.4,640,38.1,2.3,537,42.2,2.5,516,41.9,2.8,476,40.4,3.2,461,35.0,2.7,434,35.8,2.7,478,32.7,2.5,522,34.3,2.7,549,27.5,2.4,538,29.4,2.2
"남자","거주지역(표준화)별",동,2685,65.3,1.1,2931,59.2,1.1,2794,49.9,1.1,868,45.2,2.0,2080,47.4,1.2,2391,46.1,1.2,2109,47.5,1.2,2030,45.7,1.4,1826,43.3,1.3,1802,41.0,1.6,1717,42.1,1.4,1879,39.2,1.3,2087,39.8,1.4,2210,36.4,1.5,2208,36.1,1.3
"남자","거주지역(표준화)별",읍면,1425,68.6,1.3,746,66.8,2.2,715,59.4,2.0,373,44.0,4.2,758,49.1,3.0,843,50.5,2.7,595,50.4,3.2,527,54.5,3.1,483,45.4,3.4,452,47.4,3.7,437,50.2,3.1,473,40.9,3.5,505,47.2,3.5,507,48.5,4.3,505,39.1,2.1
"남자","소득수준(표준화)별",하,815,70.0,1.7,582,68.7,2.1,712,58.8,2.0,237,50.4,3.5,550,55.9,2.3,631,53.4,2.3,521,53.1,2.7,509,54.3,2.8,444,48.7,2.8,442,47.9,2.6,419,46.3,2.9,461,41.8,2.9,521,40.3,2.9,537,42.8,2.8,540,40.1,2.6
"남자","소득수준(표준화)별",중하,796,68.7,1.9,718,61.6,1.8,726,53.9,1.9,237,47.3,4.3,551,49.1,2.4,658,49.9,2.1,533,52.2,2.5,502,50.0,3.0,452,48.0,2.7,448,44.1,2.8,434,42.7,2.8,460,38.3,2.6,518,44.0,2.6,534,43.4,2.8,540,41.8,2.7
"남자","소득수준(표준화)별",중,853,65.1,1.7,679,62.4,2.2,682,52.4,1.9,238,46.9,4.0,539,47.6,2.7,636,47.8,2.3,572,45.8,2.7,506,47.0,3.0,448,39.7,3.1,446,43.8,2.8,431,46.4,3.0,468,42.2,2.9,507,39.8,2.8,543,37.3,2.5,549,35.4,2.7
"남자","소득수준(표준화)별",중상,829,65.2,1.8,695,57.1,2.2,669,47.5,2.0,241,45.6,3.8,572,47.5,2.2,630,44.7,2.4,512,46.3,2.9,502,41.7,2.7,462,39.5,2.8,443,38.6,2.7,433,42.7,3.1,470,40.0,3.0,515,43.4,2.9,547,38.5,2.6,538,34.4,2.6
"남자","소득수준(표준화)별",상,817,63.7,1.8,804,54.5,2.0,675,45.5,2.3,239,34.5,3.5,540,38.8,2.3,640,38.4,2.3,537,42.6,2.6,516,42.7,2.7,476,41.2,3.1,461,37.2,2.6,434,37.6,2.6,478,33.9,2.6,522,36.5,2.7,549,28.0,2.4,538,31.0,2.5
"여자","전체",19세이상,4713,6.6,0.5,4392,5.3,0.5,4292,5.7,0.5,1739,5.3,0.8,3959,7.3,0.6,4236,6.9,0.5,3552,6.1,0.6,3466,6.5,0.6,3282,7.4,0.7,3084,5.7,0.5,3038,5.1,0.6,3053,5.3,0.5,3423,6.1,0.6,3398,5.2,0.5,3470,6.5,0.6
"여자","전체",19세이상(표준화),4713,6.5,0.5,4392,5.2,0.4,4292,5.7,0.5,1739,5.3,0.8,3959,7.4,0.6,4236,7.1,0.5,3552,6.3,0.6,3466,6.8,0.6,3282,7.9,0.7,3084,6.2,0.6,3038,5.7,0.7,3053,5.5,0.6,3423,6.4,0.6,3398,6.0,0.6,3470,7.5,0.7
